Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Червоненко,Омелян,Олексійович,Чоловік,1964-12-31,Кінокритик,селище Макіївка,"площа Сурикова 2-й, буд. 5 кв. 27, Вознесенівка, 68928",046 855-90-86,ykharchenko@example.net
Овчаренко,Опанас,Володимирович,Чоловік,1975-04-22,Актор,хутір Здолбунів,"сквер Шкіперська, буд. 30 кв. 913, Хмельницький, 30455",457-56-32,arkadii95@example.org
Дашкевич,Азар,Іванович,Чоловік,1980-10-06,Біолог,хутір Вараш,"вулиця Могилівська, буд. 12 кв. 902, Богуслав, 40122",088-22-04,sirchenkoielysaveta@example.org
Товстуха,Станіслав,Олексійович,Чоловік,1990-08-24,Географ,село Вижниця,"шосе Іспанська, буд. 875 кв. 8, Долина , 06925",+380 38 800-97-93,odankevych@example.com
Радченко,Левко,Олегович,Чоловік,1959-04-28,Модель,селище Олександрія,"провулок Лузанівка, буд. 95, Білгород-Дністровський, 89432",+380 70 531 57 79,ievariabchenko@example.com
Бабʼюк,Ростислав,Юрійович,Чоловік,1973-03-30,Провізор,село Молодогвардійськ,"узвіз Водопровідний 2-й, буд. 7 кв. 6, Глиняни, 50225",334-84-25,halynamalyshko@example.net
Панчук,Марʼяна,Григорівна,Жінка,1979-10-03,Електрослюсар,місто Берегове,"площа Перемоги, буд. 8 кв. 1, Горлівка, 16874",081 489-90-96,artemfartushniak@example.org
Андрійчук,Дмитро,Васильович,Чоловік,1999-11-06,Електромонтер,селище Тисмениця,"парк Качалова, буд. 8, Кагарлик, 47381",+380 66 774 19 16,snizhana88@example.org
Цушко,Павло,Ігорович,Чоловік,2000-04-12,Вчитель,хутір Кропивницький,"шосе Далекосхідна, буд. 954, Боково-Хрустальне, 91643",+380 48 117-31-78,haidademian@example.net
Баран,Святослава,Євгенівна,Жінка,2008-02-24,Кушнір,місто Кам'янське,"сквер Басейний 6-й, буд. 8 кв. 585, Лохвиця, 78591",043 664 86 41,fiemelianenko@example.com
Василевич,Павло,Степанович,Чоловік,2001-01-29,Головний меркшейдер,селище Радомишль,"узвіз Дальня, буд. 91, Золоте, 16649",+380 53 776 35 81,efastenko@example.net
Забашта,Ростислав,Сергійович,Чоловік,1974-02-04,Фермер,село Алмазна,"парк Лиманна, буд. 6, Іршава, 27326",+380 46 950-77-77,dashenkofeofan@example.org
Овсієнко,Едуард,Євгенович,Чоловік,1996-09-01,Шериф,селище Канів,"провулок Зарічна, буд. 137, Тальне, 53695",+380 47 488 34 67,galaganmyroslav@example.net
Аронець,Йосип,Олександрович,Чоловік,1955-08-15,Бібліограф,місто Рубіжне,"набережна Восьмого березня 2-й, буд. 5, Кілія, 39849",+380 (56) 388-55-89,vorlyk@example.net
Доценко,Давид,Михайлович,Чоловік,1974-04-21,Головний меркшейдер,селище Первомайський ,"провулок Злакова, буд. 104 кв. 871, Первомайський , 66486",+380 40 295 97 69,zperebyinis@example.org
Шевченко,Ірена,Петрівна,Жінка,1966-06-10,Прокурор,село Комарно,"площа Стельмаха, буд. 00 кв. 1, Залізне, 54333",+380 (41) 556-24-85,zavdieienko@example.org
Лемешко,Азар,Олегович,Чоловік,1979-05-13,Кінорежисер,хутір Моспине,"провулок Естафетна, буд. 134, Зугрес, 81441",+380 26 918-96-14,izakharchenko@example.org
Щириця,Трохим,Богданович,Чоловік,1949-02-06,Правник,село Харків,"площа Садова 6-та, буд. 250 кв. 810, Городенка, 09903",+380 88 889-02-91,ebandurka@example.net
Вишиваний,Федір,Леонідович,Чоловік,1950-09-17,Ді-джей,місто Долинська,"парк Обсерваторний, буд. 5 кв. 922, Болехів, 83369",+380 63 896-70-66,bohuslavabezborodko@example.org
Тичина,Марʼяна,Сергіївна,Жінка,1970-10-14,Соціолог,село Обухів,"парк Толбухіна, буд. 59, Миколаїв, 87089",026 806 25 33,wkovalenko@example.com
Пелех,Пріска,Дмитрівна,Жінка,1989-12-03,Патологоанатом,хутір Звенигородка,"парк Сталепрокатна, буд. 186, Чоп, 67266",004 407-85-69,panas51@example.com
Шило,Максим,Сергійович,Чоловік,1965-05-24,Архітектор,село Армянськ,"узвіз Чорноморський 10-й, буд. 90, Кілія, 06302",+380 (27) 645-31-49,perebyinisanita@example.net
Данькевич,Єфрем,Юрійович,Чоловік,1976-05-09,Фармацевт,місто Куп'янськ,"провулок Катаєва, буд. 814 кв. 91, Зіньків, 01243",026 177-16-38,demyd04@example.net
Вітер,Ілля,Васильович,Чоловік,1949-02-08,Агроном,хутір Докучаєвськ,"узвіз Дукова, буд. 7, Енергодар, 27769",+380 85 956-13-74,ivasiukalbert@example.net
Даценко,Яків,Степанович,Чоловік,2007-08-22,Громадський діяч,селище Керч,"провулок Моторний 2-й, буд. 162, Вінниця, 03746",079 187 44 49,milenaieresko@example.net
Козаченко,Ліза,Михайлівна,Жінка,1950-11-04,Етнограф,місто Бережани,"сквер Прохоровський, буд. 50, Олександрія, 61726",+380 (48) 033-62-07,olenabazylevskyi@example.org
Алексеєнко,Гаврило,Богданович,Чоловік,1947-03-18,Кіноактор,місто Городок,"парк Спартаківський, буд. 1, Мукачево, 33137",093 92 03,mazepanestor@example.org
Рубець,Любов,Сергіївна,Жінка,1989-03-14,Редактор,село Турка,"узвіз Старорізнична, буд. 727, Стрий, 92358",749-33-45,vitalii03@example.net
Власенко,Роксолана,Василівна,Жінка,1947-09-25,Скульптор,село Коростень,"парк Олександра Кутузакія, буд. 7 кв. 5, Алчевськ, 87405",106 72 06,venedykt44@example.org
Харченко,Одарка,Леонідівна,Жінка,2003-01-02,Електромонтажник,місто Федорівка,"узвіз Скидановська, буд. 5 кв. 85, Первомайський , 22172",+380 36 157 01 04,alinadashkevych@example.com
Гавришкевич,Лілія,Сергіївна,Жінка,2008-05-01,Художник,селище Галич,"парк Хаджибейський 2-й, буд. 252, Хмільник, 91040",269-02-33,itkach@example.org
Вишивана,Ярослава,Михайлівна,Жінка,1996-05-30,Геолог,місто Вовчанськ,"провулок Амбулаторний 1-й, буд. 35 кв. 90, Бровари, 95906",051 709-84-01,jrubets@example.com
Яценко,Семен,Олексійович,Чоловік,2003-06-30,Ді-джей,село Слов'янськ,"набережна Березовий, буд. 593, Шумськ, 66115",039 104 31 96,vhres@example.com
Демиденко,Юстина,Андріївна,Жінка,1978-01-11,Композитор,селище Рівне,"площа Обривиста, буд. 8, Кодима, 69229",585 29 71,cdeisun@example.org
Цушко,Марина,Юріївна,Жінка,1965-12-18,Мікробіолог,хутір Красноград,"площа Військовий узвіз, буд. 240, Дубровиця, 10127",025 971 85 57,talanleon@example.com
Єременко,Мирослав,Дмитрович,Чоловік,1994-01-01,Мірошник,хутір Борислав,"провулок Тетяни Тесс, буд. 9 кв. 9, Кам'янка-Дніпровська, 41728",+380 12 057 47 73,rostyslavkomar@example.net
Яценюк,Варвара,Андріївна,Жінка,1973-11-16,Економіст,місто Кам'янець-Подільський,"парк Одеська, буд. 60 кв. 739, Довжанськ, 30711",+380 47 573-12-70,revaliliia@example.org
Жадан,Болеслав,Євгенович,Чоловік,1948-10-04,Правник,село Андрушівка,"набережна Остапа Вишні, буд. 555, Іллінці, 78123",+380 94 342-19-13,nshchors@example.org
Стельмах,Августин,Ігорович,Чоловік,1953-10-24,Епідеміолог,селище Мирноград,"провулок Венгера, буд. 3, Голубівка, 38254",+380 95 419 87 62,martyn60@example.org
Конопленко,Єфрем,Іванович,Чоловік,1984-05-20,Вчитель,селище Знам'янка,"набережна Машинобудівний, буд. 0, Балаклія, 24471",+380 08 744-11-76,ndubas@example.org
Балабан,Борислав,Володимирович,Чоловік,1944-01-08,Акушер,село Овруч,"шосе Могилівська, буд. 85 кв. 67, Львів, 79709",+380 (08) 893-94-35,stefanostapchuk@example.com
Рябець,Тарас,Андрійович,Чоловік,1967-12-22,Гірник,селище Кипуче,"сквер Пересипський узвіз, буд. 6 кв. 127, Горохів, 74993",+380 51 250 87 85,marta73@example.org
Їжакевич,Богуслав,Олексійович,Чоловік,1941-02-18,Музикант,село Ровеньки,"площа Прибережний, буд. 80 кв. 427, Житомир, 73437",032 95 64,frants79@example.net
Непорожній,Емілія,Дмитрівна,Жінка,1970-01-06,Біолог,місто Новий Калинів,"проспект Глазунова, буд. 2, Хорол , 14847",545-68-28,franchukpylyp@example.net
Базавлученко,Ліза,Євгенівна,Жінка,1960-05-30,Зоолог,місто Решетилівка,"шосе Донцова Дмитра, буд. 315 кв. 073, Сімферополь, 87948",817 92 66,konopliabohdanna@example.org
Гузенко,Софія,Олександрівна,Жінка,1943-05-02,М'ясник,селище Ватутіне,"сквер Лінія 23-тя, буд. 5, Куп'янськ, 45490",894 40 18,ktsymbaliuk@example.com
Макаренко,Ярослав,Богданович,Чоловік,1949-08-25,Промисловець,місто Шаргород,"узвіз Картамишевський, буд. 4 кв. 4, Канів, 45831",+380 06 309-34-57,tshukhevych@example.com
Гаврилець,Артем,Сергійович,Чоловік,1999-03-30,Футболіст,село Українськ,"вулиця 5-та Суворовська, буд. 656 кв. 7, Шепетівка, 01789",094 193-34-06,amaliiakolodub@example.com
Доценко,Аркадій,Леонідович,Чоловік,1988-10-13,Державний службовець,хутір Синельникове,"узвіз Центральна, буд. 3 кв. 194, Гайсин, 80198",093 441-63-26,kverkhola@example.com
Дараган,Василина,Юріївна,Жінка,1957-07-24,Дантист,хутір Буськ,"вулиця Проточний, буд. 579, Рахів, 74149",+380 43 053 55 43,dutkaserhii@example.net
Ященко,Олена,Дмитрівна,Жінка,1963-06-05,Антрополог,селище Славутич,"узвіз Монастирський, буд. 256 кв. 618, Тиврів, 96864",+380 39 885-95-15,hrechanykklavdiia@example.com
Бабʼяк,Олесь,Євгенович,Чоловік,1996-12-08,Режисер,хутір Мар'їнка,"провулок Мала Садова, буд. 443, Перемишляни, 54451",015 288-99-15,mykhailyna84@example.org
Давимука,Богуслав,Петрович,Чоловік,1963-08-11,Візажист,село Кременчук,"парк Василя Кандинського 2-й, буд. 333, Київ, 12783",005-46-40,pylypromanenko@example.org
Яремчук,Мартин,Ігорович,Чоловік,2005-02-22,Ріелтор,селище Стрий,"провулок Вишневий, буд. 01, Кролевець, 01582",+380 79 418-46-15,ntokar@example.com
Онищенко,Трохим,Сергійович,Чоловік,2002-02-15,Економіст,місто Калинівка ,"сквер Лінія 33-тя, буд. 00, Ічня, 65826",784-82-13,valeriivoblyi@example.net
Єсипенко,Олег,Євгенович,Чоловік,2001-05-15,Дипломат,місто Миколаїв,"парк Сортувальна 1-ша, буд. 840, Скалат, 58512",736 51 81,mykytamalyshko@example.com
Андрейко,Марта,Петрівна,Жінка,1991-09-16,Дантист,місто Теребовля,"вулиця Василя Кандинського 1-й, буд. 631 кв. 95, Тетіїв, 17558",075 248-88-64,aaroniakymenko@example.net
Євтушенко,Володимир,Олегович,Чоловік,2000-09-11,Стропальник,хутір Українка ,"провулок Пiвденний, буд. 958, Авдіївка, 71896",009 563-86-41,vladyslav07@example.com
Бабʼяк,Юстим,Леонідович,Чоловік,2001-08-04,Пілот,місто Баранівка,"провулок Сливова, буд. 7 кв. 028, Миколаївка , 80343",568 87 90,ieva04@example.com
Овсієнко,Богуслава,Леонідівна,Жінка,1998-03-07,Гірник,село Кам'янське,"сквер Авдєєва-Чорноморського, буд. 11, Кремінна, 01897",093 847 60 45,oleskalchenko@example.com
Кибкало,Ростислав,Богданович,Чоловік,1949-09-04,Парфюмер,селище Географія Вільнянська,"парк Івана Франка, буд. 4, Старий Самбір, 97660",+380 08 265-26-50,demian26@example.org
Шинкаренко,Дарина,Олегівна,Жінка,1965-11-27,Візажист,селище Чернігів,"узвіз 3-тя Лінія Марії Демченко, буд. 85 кв. 22, Соснівка , 08481",+380 68 447-73-86,arkadiigoliash@example.com
Ткач,Світлана,Іванівна,Жінка,1966-03-27,Медик,селище Керч,"узвіз Магістральна, буд. 0 кв. 539, Ялта, 86412",039 192 70 45,shovkopliaspylyp@example.net
Іщак,Михайлина,Сергіївна,Жінка,1975-06-08,Фармацевт,селище Стебник,"вулиця Грецька, буд. 536 кв. 2, Міусинськ, 87297",+380 43 638 19 29,zabashtaliza@example.com
Левченко,Ярина,Леонідівна,Жінка,2004-08-01,Агроном,місто Андрушівка,"проспект Софіївська, буд. 7 кв. 70, Новомосковськ, 42061",+380 86 207 81 83,hrechkostepan@example.org
Юрчишина,Оксана,Сергіївна,Жінка,1987-01-14,Мистецтвознавець,місто Антрацит ,"парк Кримська, буд. 949 кв. 630, Мена , 65024",051 078 31 65,anton19@example.org
Кириленко,Пилип,Ігорович,Чоловік,1941-02-19,Модельєр,місто Вуглегірськ,"площа Черепанових 2-й, буд. 2, Антрацит , 12415",090 220-33-12,panteleimonhrechko@example.com
Баран,Федір,Дмитрович,Чоловік,2005-04-27,Фотограф,село Хрустальний,"узвіз Чорноморський 12-й, буд. 1 кв. 9, Кодима, 30267",+380 30 790-72-20,tychynatymofii@example.org
Романець,Мирон,Дмитрович,Чоловік,1982-09-01,Професор,місто Луганськ,"шосе Керченська, буд. 566 кв. 582, Черкаси, 98599",+380 (69) 473-58-58,zorian11@example.org
Яценюк,Охрім,Дмитрович,Чоловік,1960-08-27,Секретар,селище Рогатин,"парк Малиновський, буд. 06, Васильків, 49178",+380 36 039-56-89,svitlana09@example.com
Гайворонський,Левко,Дмитрович,Чоловік,2003-12-02,Клавішник,село Зимогір'я,"набережна Демократична, буд. 614 кв. 89, Долинська, 02840",006 055 33 48,baklanmykolai@example.net
Бакуменко,Дарина,Олександрівна,Жінка,1992-02-28,Модель,місто Рава-Руська,"вулиця Пушкінська, буд. 778 кв. 087, Білгород-Дністровський, 26993",+380 27 513 69 16,havryshliza@example.com
Охріменко,Мартин,Григорович,Чоловік,1957-12-17,Клавішник,місто Збараж,"парк Костанді 3-й, буд. 85 кв. 11, Узин, 50459",+380 23 628-08-17,uonyshchenko@example.com
Артюшенко,Тетяна,Олегівна,Жінка,1952-04-13,Географ,хутір Бровари,"набережна Десантний, буд. 2, Богуслав, 20067",004 340-07-35,havrylo96@example.net
Арсенич,Віра,Петрівна,Жінка,1976-08-26,Математик,хутір Кілія,"парк Армійська, буд. 60, Балаклія, 71167",+380 64 605-91-23,solomiianehoda@example.net
Ґоляш,Андрій,Григорович,Чоловік,1949-08-30,Геолог,хутір Канів,"вулиця Платанова, буд. 415 кв. 524, Полонне, 20942",+380 58 418 76 12,partemenko@example.org
Зінченко,Мирон,Петрович,Чоловік,1979-07-26,Фізик,селище Тернівка ,"набережна Морська, буд. 28 кв. 24, Снятин, 78476",014 913-56-20,darynadakhno@example.org
Абраменко,Артем,Дмитрович,Чоловік,1944-04-02,Бібліограф,хутір Харків,"проспект Лінія 43-тя, буд. 42 кв. 6, Бібрка, 89127",+380 98 864-17-98,mariana25@example.org
Лесик,Вікторія,Петрівна,Жінка,2006-04-13,Золотар,селище Ужгород,"вулиця Амурський 4-й, буд. 96 кв. 2, Ялта, 95944",+380 (63) 735-17-98,iustym00@example.net
Бабариченко,Оксенія,Олександрівна,Жінка,1995-09-17,Електротехнік,селище Буськ,"набережна Палія Семена, буд. 5 кв. 50, Міусинськ, 24652",528-63-76,petrykstepan@example.org
Ємець,Данна,Михайлівна,Жінка,1957-04-11,Промисловець,село Сарни,"вулиця Балтський 7-й, буд. 06, Сіверськ, 61664",036 200-62-37,czakharchenko@example.com
Сомко,Єфрем,Григорович,Чоловік,2000-07-09,Євнух,селище Армянськ,"шосе Лунний, буд. 00 кв. 3, Житомир, 89077",685 74 18,feofanparasiuk@example.org
Данько,Алевтин,Іванович,Чоловік,1944-11-28,Мовознавець,хутір Марганець ,"проспект Житомирська, буд. 02 кв. 7, Радомишль, 73416",050 725-51-18,kozakvarvara@example.com
Цісик,Мартин,Юрійович,Чоловік,1950-09-26,М'ясник,хутір Камінь-Каширський,"сквер Магнітогорський 3-й, буд. 5, Буча, 67954",149-23-32,zlatoslavazaika@example.net
Карась,Климент,Іванович,Чоловік,1970-09-10,Швачка,селище Перечин,"узвіз Горизонтальна, буд. 1, Нікополь, 91832",061 71 56,rzasukha@example.net
Андрейко,Венедикт,Іванович,Чоловік,2005-07-03,Клоун,місто Київ,"сквер Ніжинська, буд. 6, Кремінна, 77251",+380 97 894-28-66,ivernyhora@example.org
Тимчук,Лариса,Михайлівна,Жінка,1953-03-14,Фрілансер,місто Скалат,"парк Вчительська, буд. 22, Червоносів, 02113",+380 30 196 17 78,konopliavadym@example.org
Фесенко,Володимира,Володимирівна,Жінка,1991-10-26,Випробувач,село Лозова ,"парк 13-та Суворовська, буд. 041, Гребінка, 08229",099 273 94 42,boleslavvenhrynovych@example.org
Фаренюк,Мирон,Богданович,Чоловік,1979-09-10,Кушнір,село Кіцмань,"площа Майстерний, буд. 217 кв. 7, Приморськ (Україна), 72505",+380 20 963-49-27,atamaniuktaras@example.org
Гаєвський,Сергій,Олексійович,Чоловік,1989-09-19,Публіцист,хутір Коломия,"вулиця Братів Поджіо, буд. 6, Кам'янка-Дніпровська, 46828",+380 93 428-93-34,mmatiash@example.com
Венгринович,Гордій,Олегович,Чоловік,1980-09-11,Медик,селище Селидове,"вулиця Шкіперська, буд. 603 кв. 88, Мена , 86914",+380 41 910-30-99,bsirobaba@example.com
Мамчур,Лукʼян,Олексійович,Чоловік,1989-06-25,Детектив,село Южноукраїнськ,"парк Вапняна, буд. 43 кв. 2, Новий Калинів, 21931",010 375 53 87,klavdiiaperebyinis@example.com
Чаленко,Пилип,Богданович,Чоловік,1986-01-17,Диригент,хутір Луцьк,"парк Восьмого березня 6-й, буд. 219 кв. 17, Новоукраїнка, 13066",+380 34 186 33 03,vladyslav94@example.com
Щербак,Дарина,Ігорівна,Жінка,1977-08-11,Круп'є,хутір Мала Виска,"шосе Вузький, буд. 928 кв. 084, Зеленодольськ, 17813",+380 28 009-35-80,orest29@example.net
Притула,Ольга,Григорівна,Жінка,2000-09-22,Фермер,хутір Судова Вишня,"площа Черешнева, буд. 0 кв. 9, Ковель, 42272",+380 17 755-82-92,zakhar76@example.net
Чарниш,Оксенія,Петрівна,Жінка,1983-11-08,Композитор,місто Глухів,"набережна Псковська, буд. 17, Валки , 09772",358-14-09,jdemianenko@example.org
Хоменко,Антон,Ігорович,Чоловік,1992-04-23,Кінолог,селище Южне,"провулок Пересипська 6-та, буд. 69 кв. 313, Олевськ, 69542",555 53 41,talannestor@example.net
Шовкопляс,Тереза,Степанівна,Жінка,1943-07-29,Архітектор,селище Нововолинськ,"проспект Маковий, буд. 183, Сімферополь, 22746",044 077-08-91,iukhymzhuk@example.org
Рябець,Пантелеймон,Михайлович,Чоловік,1986-09-10,Головний меркшейдер,хутір Маріуполь,"узвіз Сумський, буд. 93 кв. 375, Зеленодольськ, 82074",051 717 42 72,kpiatachenko@example.net
Чабан,Федір,Богданович,Чоловік,2007-09-05,Історик,хутір Рівне,"узвіз Амундсена, 3-й, буд. 501, Бурштин , 08822",001 482 42 71,orysia47@example.org
Салій,Аврелій,Іванович,Чоловік,1985-08-16,Різноробочий,село Білогірськ,"вулиця Десантний, буд. 82, Сторожинець, 13589",016 294 45 27,ostap57@example.com
Лупій,Ярина,Іванівна,Жінка,1977-07-08,Філолог,хутір Ходорів,"провулок Куяльницький міст, буд. 47 кв. 70, Мерефа, 31856",051 814 80 74,havrylo24@example.com
Пилипенко,Миколай,Євгенович,Чоловік,1999-11-11,Візажист,селище Алчевськ,"площа Академіка Філатова, буд. 3 кв. 349, Гнівань, 75699",+380 (16) 297-98-30,ostaphupalo@example.net
Даниленко,Богодар,Леонідович,Чоловік,1971-08-17,Астроном,село Запоріжжя,"сквер Космонавта Комарова, буд. 22, Ужгород, 14840",071 318 05 00,jkovaliuk@example.org
Гузь,Соломія,Юріївна,Жінка,1959-10-10,Епідеміолог,село Джанкой,"узвіз Ясна, буд. 986, Сторожинець, 31918",+380 (02) 894-69-72,blevchenko@example.org
Нестеренко,Мирон,Володимирович,Чоловік,1942-02-10,Штукатур,місто Новодружеськ,"провулок Красний, буд. 6 кв. 72, Радивилів, 87865",+380 72 507 45 47,zlatoslavavanchenko@example.com
Шевченко,Данна,Степанівна,Жінка,1961-07-13,Електрик,селище Суми,"шосе Слобідська, буд. 123 кв. 60, Покров, 29587",+380 50 161-38-72,ielyseishapoval@example.net
Медведенко,Едита,Петрівна,Жінка,1978-11-25,Редактор,місто Звенигородка,"сквер Хаджибейська дорога, буд. 264, Вижниця, 22738",899 98 87,rbezditko@example.org
Верховинець,Ольга,Михайлівна,Жінка,1977-02-07,Кінолог,місто Підгородне,"парк Лип Івана та Юрія, буд. 669 кв. 74, Конотоп, 43696",929 28 60,nzatula@example.org
Заруба,Ада,Леонідівна,Жінка,2007-10-07,Клавішник,селище Тиврів,"набережна Прохоровський, буд. 7, Зміїв, 87520",+380 33 552 00 65,adubas@example.org
Дашенко,Леонід,Степанович,Чоловік,1960-03-06,Різноробочий,місто Бобринець,"узвіз Бітумна, буд. 77, Ворожба, 32121",+380 67 395-88-82,bstelmakh@example.com
Палій,Володимир,Олександрович,Чоловік,1970-07-25,Журналіст,хутір Косів,"набережна Приморський, буд. 544 кв. 890, Дебальцеве, 49616",093 940 86 69,iosypverkhola@example.net
Баштан,Михайло,Степанович,Чоловік,1977-02-19,Дерун,село Верхівцеве,"провулок Академіка Сахарова, буд. 37, Теребовля, 84762",+380 38 918-75-04,oilchenko@example.net
Медведенко,Демʼян,Андрійович,Чоловік,1948-04-20,Зоолог,хутір Новогродівка,"провулок Житомирський 4-й, буд. 54 кв. 7, Дрогобич, 21509",582-79-85,ishchakkostiantyn@example.org
Шинкаренко,Світлана,Іванівна,Жінка,1947-03-03,Кіноактор,селище Щолкіне,"проспект Кощового отамана, буд. 295, Дрогобич, 82691",837-46-23,olhaopanasenko@example.org
Михалюк,Ілля,Леонідович,Чоловік,1947-03-15,Музичний редактор,хутір Бучач,"парк Тупиковий 2-й, буд. 8, Южноукраїнськ, 48700",+380 44 411-62-52,xprotsenko@example.com
Павличенко,Маруся,Михайлівна,Жінка,1954-11-06,Музикознавець,хутір Буськ,"шосе Академіка Гаркавого, буд. 8, Олександрія, 15641",845-20-01,trokhymadamchuk@example.com
Бараник,Світлана,Ігорівна,Жінка,1995-02-21,Акушер,село Біляївка,"набережна Пересипська 5-та, буд. 992, Хорол , 53898",+380 (65) 369-18-18,andrusenkomilena@example.com
Рак,Франц,Дмитрович,Чоловік,1973-09-09,Єгер,місто Зіньків,"проспект Іцхака Рабіна, буд. 85, Буськ, 85105",+380 88 755 10 23,ruslan32@example.org
Штепа,Михайло,Сергійович,Чоловік,1995-06-21,Співак,село Ржищів,"провулок Карпатська, буд. 65 кв. 022, Залізне, 18844",729-81-14,abramchukopanas@example.org
Гаврилів,Георгій,Богданович,Чоловік,2002-09-20,Дерун,селище Ворожба,"проспект Балтський 3-й, буд. 13 кв. 90, Миронівка, 53332",045 384-12-78,sirkolevko@example.com
Сиротенко,Франц,Євгенович,Чоловік,1984-06-01,Математик,хутір Добромиль,"провулок Лінія 35-та, буд. 453, Горішні Плавні, 15579",522-93-96,albinaholyk@example.com
Андрусенко,Дмитро,Ігорович,Чоловік,1981-08-06,Музичний редактор,село Привілля,"проспект Ризька, буд. 19, Дергачі, 51535",980-15-98,panaskorpaniuk@example.org
Андрейко,Ліза,Олегівна,Жінка,1962-04-14,Режисер,хутір Ірміно,"проспект Осіння, буд. 4 кв. 981, Калуш, 30878",910-27-26,babiakviktoriia@example.org
Стельмах,Ірина,Петрівна,Жінка,1963-05-19,Перекладач,село Немирів,"парк Прорізний, буд. 7, Першотравенськ, 03076",+380 87 909-64-21,alina71@example.org
Деревʼянко,Ярослав,Євгенович,Чоловік,1990-12-30,Бізнесмен,селище Гайворон,"сквер Манежний, буд. 65, Мена , 74729",+380 02 783-35-41,tsirko@example.net
Лавренко,Теодор,Леонідович,Чоловік,1979-12-26,Машиніст,місто Боково-Хрустальне,"провулок Воронезька, буд. 1, Хоростків, 28182",041 463 49 03,dhunko@example.org
Арсенич,Гордій,Євгенович,Чоловік,1980-11-12,Мінералог,село Ясинувата,"сквер Лиманчик 2-й Лінія 1-ша, буд. 6 кв. 172, Боково-Хрустальне, 66554",910 93 20,iaroslav04@example.net
Колесниченко,Петро,Євгенович,Чоловік,1963-10-30,Парфюмер,хутір Барвінкове,"площа Восьмого Березня Лінія 4-та, буд. 05 кв. 25, Світлодарськ, 88683",045 812 03 26,solomon35@example.org
Олійник,Вікторія,Ігорівна,Жінка,1977-07-23,Фольклорист,село Кілія,"узвіз Хаджибейська дорога, буд. 4 кв. 9, Остер , 95819",069 419-17-78,demianperepelytsia@example.net
Голик,Тарас,Богданович,Чоловік,1988-01-12,Епідеміолог,селище Чигирин,"узвіз Митракова, буд. 2, Дніпрорудне, 79343",613 03 02,chekaliukanita@example.com
Колодуб,Єлисей,Олегович,Чоловік,1976-07-09,Архітектор,місто Снятин,"парк Восьмого березня 4-й, буд. 537 кв. 27, Молодогвардійськ, 31606",+380 75 748 75 15,fediriakymenko@example.org
Сомко,Алла,Євгенівна,Жінка,1938-05-27,Літературознавець,місто Лубни,"проспект Дачний 2-й, буд. 9, Гадяч, 94245",+380 50 288-41-61,avhustyndavydenko@example.net
Фаренюк,Ігнат,Григорович,Чоловік,1952-07-23,Драматург,місто Іловайськ,"парк Гастелло, буд. 1, Сєвєродонецьк, 56306",+380 01 121 83 73,odarkaiushchenko@example.org
Тягнибок,Михайлина,Богданівна,Жінка,1967-01-28,Ді-джей,хутір Новоукраїнка,"проспект 19-й км Старокиївської дороги, буд. 0, Маріуполь, 65106",+380 (15) 437-80-00,eievdokymenko@example.com
